reference_file,reference_function,a03_file,a03_function,similarity_score,role_candidate,basic_block_count,internal_block_count,call_count,incoming_lcalls,xdata_read_count,xdata_write_count,arithmetic_hits,a03_pipeline_hits,near_known_a03_chain,confidence,notes
A04_28.PZU,0x89C9,A03_26.PZU,0x680C,9.00,unknown,1,0,0,1,0,0,1,0,yes,probable,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x8A42,9.00,unknown,1,0,2,1,0,0,1,0,yes,probable,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6834,8.75,unknown,1,0,0,2,0,0,1,0,yes,probable,chain_distance=1; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x7259,8.50,state_reader_or_packet_builder,1,0,3,1,8,1,1,1,yes,probable,chain_distance=2; incoming_lcall_xref=1; pipeline_xdata_hit; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x67E8,8.25,unknown,1,0,1,1,0,0,1,0,yes,probable,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6824,8.25,unknown,1,0,0,1,0,0,0,0,yes,probable,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x6913,8.25,unknown,1,0,0,4,0,0,2,0,yes,probable,chain_distance=1; incoming_lcall_xref=4; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6BA2,8.25,unknown,1,0,0,1,0,0,0,0,yes,probable,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x89FE,8.25,unknown,1,0,2,1,0,0,0,0,yes,probable,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x8A16,8.25,unknown,1,0,2,1,0,0,0,0,yes,probable,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x942A,8.25,unknown,1,0,2,2,1,0,0,0,yes,probable,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x6A15,8.00,unknown,1,0,0,1,0,0,1,0,yes,probable,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6B96,8.00,unknown,1,0,0,2,0,0,0,0,yes,probable,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x8F0F,8.00,unknown,1,0,4,1,2,1,1,0,yes,probable,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x8F9D,8.00,unknown,3,2,0,1,0,0,1,0,yes,probable,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x94CE,8.00,unknown,2,1,1,1,1,0,1,0,yes,probable,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x8B0B,7.75,state_update_worker,1,0,1,1,19,3,6,1,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1; pipeline_xdata_hit; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x68F9,7.75,unknown,1,0,0,1,1,0,4,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6B99,7.75,unknown,1,0,0,1,0,0,2,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6C21,7.75,unknown,1,0,0,1,0,0,3,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6D38,7.75,unknown,1,0,0,4,0,0,0,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=4
A04_28.PZU,0x89C9,A03_26.PZU,0x6DC7,7.75,unknown,1,0,1,1,1,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x8A5E,7.75,unknown,1,0,0,5,0,0,6,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=5; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x9EEC,7.75,unknown,2,1,8,2,1,0,2,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x69AC,7.50,unknown,1,0,1,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x6D6F,7.50,unknown,1,0,1,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x6D7E,7.50,unknown,1,0,1,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x7099,7.50,unknown,1,0,1,2,0,1,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x692E,7.25,unknown,1,0,0,2,0,0,4,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6990,7.25,unknown,1,0,0,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x708A,7.25,unknown,1,0,0,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x8692,7.25,unknown,5,4,2,1,2,0,2,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x8FAF,7.25,unknown,5,4,1,1,2,1,0,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x8FCC,7.25,unknown,3,2,0,2,1,0,0,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x9481,7.25,unknown,3,2,0,2,1,0,0,0,yes,hypothesis,chain_distance=1; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x948C,7.25,unknown,1,0,1,2,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x9F29,7.25,unknown,1,0,0,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x9F34,7.25,unknown,1,0,0,1,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x67CA,7.00,unknown,1,0,0,1,0,0,1,0,no,hypothesis,incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x68E6,7.00,unknown,1,0,0,3,0,0,6,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=3; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x693B,7.00,unknown,1,0,0,4,0,0,6,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=4; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x6B58,7.00,unknown,1,0,0,2,2,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x6D2D,7.00,unknown,1,0,0,2,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x6D56,7.00,unknown,2,1,1,2,1,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2
A04_28.PZU,0x89C9,A03_26.PZU,0x6D83,7.00,unknown,1,0,1,3,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=3
A04_28.PZU,0x89C9,A03_26.PZU,0x8A2E,7.00,unknown,1,0,1,1,1,1,0,0,yes,hypothesis,chain_distance=0; incoming_lcall_xref=1
A04_28.PZU,0x89C9,A03_26.PZU,0x8F01,7.00,unknown,4,3,0,1,0,0,1,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=1; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x67C3,6.75,unknown,3,2,0,2,0,0,1,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=2; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x67D9,6.75,unknown,1,0,0,2,0,0,1,0,no,hypothesis,incoming_lcall_xref=2; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x691A,6.75,unknown,1,0,0,18,0,0,2,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=18; arith_present
A04_28.PZU,0x89C9,A03_26.PZU,0x69A3,6.75,unknown,1,0,1,6,0,0,0,0,yes,hypothesis,chain_distance=2; incoming_lcall_xref=6
